nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
S32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ar36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ar37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ar38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ar39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ar40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ar41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca46,0.0473699,5.55812e-05,6.84187e-07,4.54338e-08,2.20172e-09,0.0,0.0
Ca47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca48,0.0666648,8.97361e-05,6.13463e-09,1.0746e-09,1.08997e-08,0.0,0.0
Sc45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ti46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ti47,0.230558,7.75832e-05,0.00636895,0.00309919,0.0,0.0,0.0
Ti48,0.528486,1.37681e-05,8.99408e-05,1.49754e-05,0.0,0.0,0.0
Ti49,0.136014,0.000130517,0.000331828,3.74282e-05,0.0,0.0,0.0
Ti50,0.0129417,3.53841e-05,2.11909e-06,2.27935e-06,4.45239e-11,0.0,0.0
V49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr52,0.0751797,9.05794e-06,0.000278324,3.04915e-05,0.0,0.0,0.0
Cr53,1.18868,0.00023585,0.000110094,0.00025179,0.0,0.0,0.0
Cr54,0.0315165,9.82624e-05,1.98211e-06,1.19602e-05,0.0,0.0,0.0
Mn54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mn55,2.28508,5.02124e-05,0.0,0.0,1.45265e-11,0.0,0.0
Fe54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fe55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
