Country,Unit,Current Status,Type,Model,Operator,Reactor Supplier,Const. Date,Grid Date,Shutdown Date,RUP [MWe],Latitude,Longitude
FRANCE,CATTENOM-4,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1983-09-28,1991-05-27,,1300,49.415833,6.218056
FRANCE,CHINON A-1,Permanent Shutdown,GCR  ,UNGG,EDF,LEVIVIER,1957-02-01,1963-06-14,1973-04-16,70,47.23055556,0.17055556
FRANCE,CHINON A-2,Permanent Shutdown,GCR  ,UNGG,EDF,LEVIVIER,1959-08-01,1965-02-24,1985-06-14,180,47.23055556,0.17055556
FRANCE,CHINON A-3,Permanent Shutdown,GCR  ,UNGG,EDF,GTM,1961-03-01,1966-08-04,1990-06-15,360,47.23055556,0.17055556
FRANCE,CHINON B-1,Operational,PWR  ,CP2,EDF,FRAM,1977-03-01,1982-11-30,,905,47.23055556,0.17055556
FRANCE,CHINON B-2,Operational,PWR  ,CP2,EDF,FRAM,1977-03-01,1983-11-29,,905,47.23055556,0.17055556
FRANCE,CHINON B-3,Operational,PWR  ,CP2,EDF,FRAM,1980-10-01,1986-10-20,,905,47.23055556,0.17055556
FRANCE,CHINON B-4,Operational,PWR  ,CP2,EDF,FRAM,1981-02-01,1987-11-14,,905,47.23055556,0.17055556
FRANCE,CHOOZ B-1,Operational,PWR  ,N4 REP 1450,EDF,FRAM,1984-01-01,1996-08-30,,1500,50.09,4.790556
FRANCE,CHOOZ B-2,Operational,PWR  ,N4 REP 1450,EDF,FRAM,1985-12-31,1997-04-10,,1500,50.09,4.790556
FRANCE,CHOOZ-A (ARDENNES),Permanent Shutdown,PWR  ,CHOOZ-A,SENA,A/F/W,1962-01-01,1967-04-03,1991-10-30,305,,
FRANCE,CIVAUX-1,Operational,PWR  ,N4 REP 1450,EDF,FRAM,1988-10-15,1997-12-24,,1495,46.45611111,0.65416667
FRANCE,CIVAUX-2,Operational,PWR  ,N4 REP 1450,EDF,FRAM,1991-04-01,1999-12-24,,1495,46.45611111,0.65416667
FRANCE,CRUAS-1,Operational,PWR  ,CP2,EDF,FRAM,1978-08-01,1983-04-29,,915,44.63388889,4.75388889
FRANCE,CRUAS-2,Operational,PWR  ,CP2,EDF,FRAM,1978-11-15,1984-09-06,,915,44.63388889,4.75388889
FRANCE,CRUAS-3,Operational,PWR  ,CP2,EDF,FRAM,1979-04-15,1984-05-14,,915,44.63388889,4.75388889
FRANCE,CRUAS-4,Operational,PWR  ,CP2,EDF,FRAM,1979-10-01,1984-10-27,,915,44.63388889,4.75388889
FRANCE,DAMPIERRE-1,Operational,PWR  ,CP1,EDF,FRAM,1975-02-01,1980-03-23,,890,47.73361111,2.5175
FRANCE,DAMPIERRE-2,Operational,PWR  ,CP1,EDF,FRAM,1975-04-01,1980-12-10,,890,47.73361111,2.5175
FRANCE,DAMPIERRE-3,Operational,PWR  ,CP1,EDF,FRAM,1975-09-01,1981-01-30,,890,47.73361111,2.5175
FRANCE,DAMPIERRE-4,Operational,PWR  ,CP1,EDF,FRAM,1975-12-01,1981-08-18,,890,47.73361111,2.5175
