Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Contstruction Date,Construction Year,First Criticality Date,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013
France,BLAYAIS-2,PWR,910,Operational,EDF,1/1/77,1977,6/28/82,7/17/82,2/1/83,,64.2
France,CHINON B-1,PWR,905,Operational,EDF,3/1/77,1977,10/28/82,11/30/82,2/1/84,,52.3
France,CHINON B-2,PWR,905,Operational,EDF,3/1/77,1977,9/23/83,11/29/83,8/1/84,,64.5
France,PALUEL-1,PWR,1330,Operational,EDF,8/15/77,1977,5/13/84,6/22/84,12/1/85,,70.6
France,PALUEL-2,PWR,1330,Operational,EDF,1/1/78,1978,8/11/84,9/14/84,12/1/85,,98.9
France,BLAYAIS-3,PWR,910,Operational,EDF,4/1/78,1978,7/29/83,8/17/83,11/14/83,,86.1
France,BLAYAIS-4,PWR,910,Operational,EDF,4/1/78,1978,5/1/83,5/16/83,10/1/83,,66.3
France,CRUAS-1,PWR,915,Operational,EDF,8/1/78,1978,4/2/83,4/29/83,4/2/84,,82.3
France,CRUAS-2,PWR,915,Operational,EDF,11/15/78,1978,8/1/84,9/6/84,4/1/85,,75.7
France,ST. ALBAN-1,PWR,1335,Operational,EDF,1/29/79,1979,8/4/85,8/30/85,5/1/86,,98.7
France,PALUEL-3,PWR,1330,Operational,EDF,2/1/79,1979,8/7/85,9/30/85,2/1/86,,82.7
France,CRUAS-3,PWR,915,Operational,EDF,4/15/79,1979,4/9/84,5/14/84,9/10/84,,89.9
France,ST. ALBAN-2,PWR,1335,Operational,EDF,7/31/79,1979,6/7/86,7/3/86,3/1/87,,66.8
France,CRUAS-4,PWR,915,Operational,EDF,10/1/79,1979,10/1/84,10/27/84,2/11/85,,86.6
France,GRAVELINES-5,PWR,910,Operational,EDF,10/1/79,1979,8/5/84,8/28/84,1/15/85,,84.2
France,GRAVELINES-6,PWR,910,Operational,EDF,10/1/79,1979,7/21/85,8/1/85,10/25/85,,84.5
France,CATTENOM-1,PWR,1300,Operational,EDF,10/29/79,1979,10/24/86,11/13/86,4/1/87,,59.7
France,FLAMANVILLE-1,PWR,1330,Operational,EDF,12/1/79,1979,9/29/85,12/4/85,12/1/86,,98.8
France,PALUEL-4,PWR,1330,Operational,EDF,2/1/80,1980,3/29/86,4/11/86,6/1/86,,66.3
France,BELLEVILLE-1,PWR,1310,Operational,EDF,5/1/80,1980,9/9/87,10/14/87,6/1/88,,82
France,FLAMANVILLE-2,PWR,1330,Operational,EDF,5/1/80,1980,6/12/86,7/18/86,3/9/87,,70.7
France,CATTENOM-2,PWR,1300,Operational,EDF,7/28/80,1980,8/7/87,9/17/87,2/1/88,,87.8
France,BELLEVILLE-2,PWR,1310,Operational,EDF,8/1/80,1980,5/25/88,7/6/88,1/1/89,,71.1
France,CHINON B-3,PWR,905,Operational,EDF,10/1/80,1980,9/18/86,10/20/86,3/4/87,,76.2
France,CHINON B-4,PWR,905,Operational,EDF,2/1/81,1981,10/13/87,11/14/87,4/1/88,,85.7
France,NOGENT-1,PWR,1310,Operational,EDF,5/26/81,1981,9/12/87,10/21/87,2/24/88,,99.4
France,NOGENT-2,PWR,1310,Operational,EDF,1/1/82,1982,10/4/88,12/14/88,5/1/89,,86.8
France,CATTENOM-3,PWR,1300,Operational,EDF,6/15/82,1982,2/16/90,7/6/90,2/1/91,,74.3
France,PENLY-1,PWR,1330,Operational,EDF,9/1/82,1982,4/1/90,5/4/90,12/1/90,,85.7
France,GOLFECH-1,PWR,1310,Operational,EDF,11/17/82,1982,4/24/90,6/7/90,2/1/91,,88.5
France,CATTENOM-4,PWR,1300,Operational,EDF,9/28/83,1983,5/4/91,5/27/91,1/1/92,,54.3
France,CHOOZ B-1,PWR,1500,Operational,EDF,1/1/84,1984,7/25/96,8/30/96,5/15/00,,78.9
France,PENLY-2,PWR,1330,Operational,EDF,8/1/84,1984,1/10/92,2/4/92,11/1/92,,99.1
France,GOLFECH-2,PWR,1310,Operational,EDF,10/1/84,1984,5/21/93,6/18/93,3/4/94,,96.1
France,CHOOZ B-2,PWR,1500,Operational,EDF,12/31/85,1985,3/10/97,4/10/97,9/29/00,,84.4
France,CIVAUX-1,PWR,1495,Operational,EDF,10/15/88,1988,11/29/97,12/24/97,1/29/02,,68.9
France,CIVAUX-2,PWR,1495,Operational,EDF,4/1/91,1991,11/27/99,12/24/99,4/23/02,,83.8
France,FLAMANVILLE-3,PWR,1600,Under Construction,EDF,12/3/07,2007,12/30/16,12/31/16,,,
Germany,VAK KAHL,BWR,15,Permanent Shutdown,VAK,7/1/58,1958,11/13/60,6/17/61,2/1/62,11/25/85,
Germany,RHEINSBERG,PWR,62,Permanent Shutdown,EWN,1/1/60,1960,3/1/66,5/6/66,10/11/66,6/1/90,
Germany,AVR JUELICH,HTGR,13,Permanent Shutdown,AVR,8/1/61,1961,8/16/66,12/17/67,5/19/69,12/31/88,
